Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.425723667856589,0.296133596212629,b4467,b3399,b4382,b4069,b4384,b2744,b3115,b1849,b2296,b0160,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b3908,b1656,b1982,b4139,b0675,b2361,b0261,b2799,b3945,b1602,b0507,b3915,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b2954,b1380,b2660,b0221,b2285,b1007,,,,,,,,,,,,,,,,,
43,0.298212690412966,0.429751475158389,b4467,b1478,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b2925,b2097,b3617,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b0477,b4139,b3946,b0825,b0261,b2799,b3945,b1602,b2406,b2868,b0114,b0755,b3612,b0529,b2492,b0904,b3029,b1380,b2660,b3662,b2285,,,,,,,,,,,,,,,,,
45,0.394236303937649,0.442323769901691,b2836,b3553,b1478,b1241,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b0477,b4139,b1033,b4014,b0261,b2976,b2799,b3945,b1602,b2223,b4381,b2406,b3915,b0509,b3125,b0529,b2492,b0904,b1300,b2954,b3029,b1380,b2660,b3662,b2285,b1011,,,,,,,,,,,,,,,
45,0.402721152938354,0.422546511216183,b4467,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b2779,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b0937,b1982,b4139,b0675,b2361,b4014,b0261,b2976,b0411,b2799,b3945,b1602,b0507,b4381,b2975,b3603,b0529,b2492,b0904,b2954,b3029,b1380,b1301,b2660,b3662,b2285,b1009,,,,,,,,,,,,,,,
45,0.429480319688724,0.29917040744858,b3553,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b1779,b0937,b1982,b4139,b1033,b1623,b0261,b2799,b3945,b1602,b4381,b2406,b2868,b1727,b4064,b4464,b0114,b0509,b3125,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b3662,b2285,b1011,,,,,,,,,,,,,,,
45,0.394236303937654,0.442323769904078,b3553,b1478,b3399,b1241,b4069,b2502,b2744,b3115,b1849,b2296,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b4139,b1033,b0675,b2361,b2291,b4014,b0261,b2976,b2799,b3945,b1602,b0507,b2913,b4381,b3915,b0452,b0755,b3612,b0529,b2492,b0904,b2954,b1298,b1380,b2285,b1009,,,,,,,,,,,,,,,
46,0.397251294886204,0.416807380265846,b3553,b1478,b3399,b1241,b4069,b4384,b2744,b3752,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b0937,b1982,b1302,b2662,b4139,b1033,b1623,b4014,b0261,b2976,b0411,b2799,b3945,b1602,b2913,b4381,b0509,b3125,b0529,b2492,b0904,b2954,b3029,b1380,b3662,b2285,b1007,,,,,,,,,,,,,,
46,0.402721152938429,0.422546511213454,b3553,b1478,b3399,b1241,b4069,b2502,b2744,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b3908,b1656,b1982,b4139,b1033,b0675,b2361,b2291,b4014,b0261,b2976,b2799,b3945,b1602,b0507,b0153,b2913,b4381,b0529,b1539,b2492,b0904,b2954,b3035,b3927,b1380,b2285,b1008,,,,,,,,,,,,,,
47,0.372029235922373,0.427936766411221,b3553,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b0937,b1982,b0477,b4139,b1033,b0261,b1602,b4381,b2406,b0114,b0755,b3612,b0529,b1539,b2492,b0904,b2954,b1380,b2660,b0514,b1771,b3662,b2285,b1008,,,,,,,,,,,,,
47,0.351913210580897,0.0603963003935728,b4467,b3399,b0474,b2518,b4069,b4384,b2744,b0871,b3115,b1849,b2296,b2925,b2097,b2926,b0160,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b2690,b1982,b4139,b0675,b2361,b0261,b2799,b3945,b1602,b0507,b4381,b3915,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b3927,b3029,b1380,b2660,b2285,b1011,,,,,,,,,,,,,
50,0.332901900695212,0.536581736662041,b3553,b3399,b3942,b1732,b1241,b0351,b4069,b2744,b1479,b2297,b2458,b0160,b3844,b3236,b1779,b2463,b3962,b1982,b0104,b3616,b3589,b2210,b4267,b1033,b1623,b3665,b4374,b0675,b2361,b2291,b1415,b3551,b1014,b0822,b4388,b4219,b1832,b1778,b0112,b0114,b0529,b2492,b0904,b1380,b1912,b0325,b1710,b2480,b1511,b4266,,,,,,,,,,
50,0.351913210580886,0.0603963003938371,b4467,b3399,b4382,b0474,b2518,b4069,b4384,b2744,b0871,b3115,b1849,b2296,b2779,b2925,b2097,b0160,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b3946,b0825,b0675,b2361,b0261,b2799,b3945,b1602,b2913,b3915,b1727,b2975,b0114,b3603,b0509,b3125,b0529,b2492,b0904,b3927,b3029,b1380,b0508,b2285,b1010,,,,,,,,,,
51,0.346977814311849,0.457969077558962,b3553,b4382,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b1479,b3752,b0871,b2779,b2407,b3236,b2463,b3962,b1982,b0104,b3616,b3589,b2210,b4267,b1033,b3551,b1014,b3945,b2913,b4219,b1832,b1778,b2406,b0112,b2868,b0114,b0529,b0306,b3605,b2492,b0904,b1380,b0325,b1710,b2480,b4266,b3662,b1518,b4209,,,,,,,,,
51,0.415433990207915,0.435885182391189,b3553,b1478,b4382,b1241,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b2926,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b2937,b3908,b1656,b0207,b3012,b0937,b1982,b4139,b1033,b1623,b4014,b0261,b2976,b0411,b2799,b1602,b0509,b3125,b0529,b2492,b0904,b2954,b1781,b3001,b1380,b0325,b2660,b1771,b3662,b2285,b1010,,,,,,,,,
52,0.347839103539714,0.413117546337981,b3553,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b1479,b3752,b0871,b2779,b3844,b3236,b2883,b2463,b3962,b1982,b0104,b3616,b3589,b2210,b4267,b1033,b1415,b3551,b1014,b3945,b2913,b4219,b1832,b1778,b4381,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b0325,b1710,b2480,b1511,b4266,b3662,,,,,,,,
53,0.346961555473426,0.459167881629564,b3399,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b1479,b0871,b3617,b3236,b0907,b1779,b2463,b3962,b1982,b0104,b2210,b4267,b4374,b0675,b2361,b2291,b1415,b3551,b1014,b0822,b4219,b1832,b1778,b0112,b2868,b0114,b0529,b1539,b2492,b0904,b3821,b1380,b0325,b1710,b2480,b0508,b4042,b4266,b1518,b1813,b4209,,,,,,,
54,0.332910571914692,0.536540033909838,b3553,b3399,b4382,b3942,b1732,b1241,b0351,b4069,b4384,b2744,b1479,b2297,b2458,b3617,b0030,b3844,b3236,b2883,b1779,b2463,b3962,b1982,b1200,b0104,b3946,b2210,b0825,b4267,b1033,b1623,b3665,b3551,b1014,b0411,b2913,b4219,b1832,b1778,b4381,b0112,b0114,b0529,b0306,b1539,b3605,b2492,b0904,b1380,b0325,b1710,b2480,b4266,b3662,b1518,,,,,,
55,0.359108524838025,0.537535186487389,b2836,b4382,b3942,b1732,b1241,b0351,b4069,b4384,b3708,b1479,b3752,b3115,b1849,b2296,b2779,b2407,b3236,b2463,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b2210,b4267,b1415,b3551,b1014,b3945,b4219,b1832,b1778,b2406,b0112,b2868,b0114,b2366,b2492,b0904,b1533,b1380,b0325,b1710,b2480,b0508,b4266,b3662,b1518,b1813,b0221,b4209,,,,,
56,0.326820458083941,0.150825244723317,b3553,b3399,b4382,b0474,b2518,b4069,b4384,b2744,b0871,b3115,b1849,b2296,b2779,b2925,b2097,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b0207,b3012,b1982,b4139,b3946,b0825,b1033,b0675,b2361,b0261,b2799,b1602,b2789,b3127,b1727,b0114,b0755,b3612,b0529,b2492,b0904,b1781,b3001,b3927,b3029,b1380,b0325,b2660,b0514,b1771,b3662,b2285,b1011,,,,
57,0.272977248993003,0.0510914260909701,b1478,b3399,b3942,b1732,b0474,b2518,b1241,b0351,b4069,b2502,b2744,b1479,b2930,b4232,b3697,b3925,b0871,b3115,b1849,b2296,b3617,b3844,b3236,b1779,b2690,b2463,b3962,b1982,b2210,b4267,b0675,b2361,b1415,b3551,b1014,b3945,b4219,b1832,b1778,b4381,b2406,b0112,b2868,b0114,b0509,b3125,b0529,b2492,b0904,b1380,b0325,b1710,b2480,b4266,b1813,b1517,b1206,,,
57,0.257202666070028,0.415075315947435,b3399,b3942,b1732,b0474,b2518,b1241,b0351,b4069,b2744,b1479,b0871,b2297,b2458,b2779,b2925,b2097,b3617,b0160,b3124,b3236,b1779,b2463,b3962,b1982,b3946,b2210,b0825,b4267,b0675,b2361,b2291,b1415,b3551,b1014,b3945,b4219,b1832,b1778,b4381,b0112,b2868,b0114,b0529,b1539,b2492,b0904,b3927,b1380,b0325,b1710,b2480,b0508,b0514,b1511,b4266,b1206,b4209,,,
58,0.263990446822428,0.349242578876526,b3399,b4382,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b0474,b2518,b1241,b0351,b4384,b2744,b1479,b0871,b2925,b2097,b3617,b0160,b2407,b3236,b0907,b1779,b2463,b3962,b1982,b3946,b2210,b0825,b4267,b3665,b0675,b2361,b1415,b3551,b1014,b0822,b4219,b1832,b1778,b0112,b0114,b0529,b1539,b2492,b0904,b1380,b0325,b1710,b2480,b0508,b4266,b1518,b1813,b1206,b4209,,
60,0.306032079783248,0.00573435259957478,b2836,b3553,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3708,b3008,b3752,b0871,b2779,b2925,b2097,b3617,b2407,b1238,b1004,b3713,b1109,b0046,b3236,b1638,b0121,b1982,b4139,b2797,b3117,b1814,b4471,b3946,b0825,b1033,b1623,b0261,b2799,b3945,b1602,b2913,b4381,b2406,b3915,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b3029,b1380,b4141,b1798,b3662,b2285,b1010
